what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.egit.ui,1.1.0.201109151100-r,"org.eclipse.egit.ui",1328366449732
started,bundle,org.eclipse.egit.core,1.1.0.201109151100-r,"org.eclipse.egit.core",1328366449819
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1328366450015
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1328366450094
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366454766
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366458169
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1328366571536
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1328366572091
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1328366572412
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366576952
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366577054
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366577108
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1328366577138
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366590916
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366591021
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366592283
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366606851
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1328366608160
